Date;Open;High;Low;Close
10/21/2023;23.6200;23.9500;23.5900;23.9500
10/20/2023;23.8700;24.1600;23.4300;23.6200
10/19/2023;23.8900;23.8900;23.5600;23.8700
10/18/2023;23.8400;25.2700;23.4600;23.8900
10/17/2023;23.5300;24.2400;23.5300;23.8400
10/16/2023;24.2700;24.2700;23.0800;23.5300
10/15/2023;23.3200;24.9200;23.2400;24.2700
10/14/2023;22.8400;25.1000;22.4600;23.3200
10/13/2023;21.8600;23.9700;21.8600;22.8400
10.12.2023;22.5000;22.5000;21.7800;21.8600
10.11.2023;22.6500;22.8000;21.5000;22.5000
10.09.2023;22.7800;22.7800;22.6500;22.6500
10.08.2023;23.6400;24.3500;22.9800;23.1600
10.07.2023;22.4400;25.7000;22.4400;23.6400
10.05.2023;22.4400;22.4400;22.4400;22.4400
10.02.2023;23.1800;23.2200;23.1800;23.2200
10.01.2023;23.1800;23.1800;23.1800;23.1800
09/29/2023;22.9300;22.9300;22.9300;22.9300
09/28/2023;23.1300;23.7900;23.1300;23.5900
09/27/2023;22.3200;23.5500;22.3200;23.1300
09/26/2023;22.2900;22.5800;22.0600;22.3200
09/25/2023;23.0500;23.2200;22.2100;22.2900
09/24/2023;21.7900;25.3300;21.5300;23.0500
09/23/2023;21.8900;21.8900;20.4200;21.7900
09/22/2023;21.8400;21.8900;20.9600;21.8900
09/21/2023;22.2500;22.4600;21.8400;21.8400
09/20/2023;22.7600;23.3000;21.7900;22.2500
09/19/2023;22.7700;24.3100;22.7600;22.7600
09/18/2023;23.4400;25.7000;21.9500;22.7700
09/17/2023;22.0600;24.5100;22.0600;23.4400
09/16/2023;21.5900;22.3500;20.9800;22.0600
09/15/2023;21.2900;21.8000;21.1500;21.5900
09/14/2023;21.0900;21.2900;21.0900;21.2900
09.12.2023;21.3000;21.3000;21.3000;21.3000
09.11.2023;21.6500;23.3700;20.0700;20.8500
09.10.2023;22.3800;22.3900;21.6500;21.6500
09.09.2023;22.1200;22.6200;22.1200;22.3800
09.08.2023;22.5900;22.5900;22.1200;22.1200
09.07.2023;21.5800;22.9900;21.5800;22.5900
09.06.2023;22.2700;22.2700;21.4700;21.5800
09.05.2023;20.8200;22.4200;20.8200;22.2700
09.04.2023;20.6700;21.0900;20.6700;20.8200
09.03.2023;20.9200;22.0300;20.6700;20.6700
09.02.2023;20.5000;21.2300;19.9800;20.9200
09.01.2023;21.2600;21.3800;19.7300;20.5000
08/31/2023;21.2100;22.0700;21.0000;21.2600
08/30/2023;20.8000;21.6900;20.8000;21.2100
08/29/2023;20.4900;24.9500;20.4700;20.8000
08/28/2023;21.2400;21.3600;20.4900;20.4900
08/27/2023;21.1600;21.2400;21.0500;21.2400
08/25/2023;21.0500;21.2700;21.0500;21.1600
08/24/2023;21.6300;21.8200;21.2200;21.2200
08/23/2023;21.0100;21.6300;20.8400;21.6300
08/22/2023;21.3100;21.3100;21.0100;21.0100
08/21/2023;22.7700;23.9600;20.3500;21.3100
08/20/2023;21.3700;22.7700;20.8500;22.7700
08/19/2023;21.2200;22.8000;20.2400;21.3700
08/18/2023;22.3800;22.3800;20.9800;21.2200
08/17/2023;23.2300;23.3800;22.3800;22.3800
08/16/2023;24.1900;24.8100;23.1100;23.2300
08/15/2023;24.6200;24.7700;24.1900;24.1900
08/14/2023;25.2000;25.2000;24.5600;24.6200
08/13/2023;24.6800;25.6600;24.6100;25.2000
08.12.2023;24.5600;24.7800;24.5500;24.6800
08.11.2023;24.8900;24.8900;24.5600;24.5600
08.10.2023;24.4900;24.9100;24.3500;24.8900
08.09.2023;24.1400;25.0500;23.6400;24.4900
08.08.2023;24.8200;25.0300;23.8300;24.1400
08.07.2023;24.4800;24.8200;24.2900;24.8200
08.05.2023;24.3700;24.7400;24.3700;24.4800
08.04.2023;24.4900;24.6700;24.2000;24.6700
08.03.2023;24.7800;25.5200;24.0500;24.4900
08.02.2023;24.8700;25.3900;24.5900;24.7800
08.01.2023;25.3800;25.7300;24.5900;24.8700
07/31/2023;25.1300;25.7900;24.8700;25.3800
07/30/2023;24.6400;27.3700;24.6400;25.1300
07/29/2023;24.8600;24.8900;24.6400;24.6400
07/28/2023;24.8500;25.2700;24.7300;24.8600
07/27/2023;24.5500;26.0400;24.5100;24.8500
07/26/2023;23.5500;24.6500;23.5500;24.5500
07/25/2023;23.1000;24.1100;23.1000;23.5500
07/24/2023;24.2500;25.4700;22.9800;23.1000
07/23/2023;24.5400;24.5400;23.6700;24.2500
07/22/2023;24.9500;25.1800;24.5400;24.5400
07/21/2023;25.3300;25.8200;24.4000;24.9500
07/20/2023;25.3900;26.9100;24.6000;25.3300
