Date;High;Open;Close
03/19/2022;2.950.96;2.985;2,956.80
03/18/2022;2.808.00;2.985;2,952.01
03/17/2022;2.772.09;2.835;2,807.99
03/16/2022;2.617.14;2.789;2,774.50
03/15/2022;2.526.77;2.667;2,625.59
03/14/2022;2.547.00;2.608;2,524.55
03/13/2022;2.586.98;2.608;2,547.01
03.12.2022;2.573.60;2.614;2,586.98
03.11.2022;2.604.78;2.672;2,573.60
03.10.2022;2.708.44;2.735;2,604.00
03.09.2022;2.559.18;2.773;2,708.44
03.08.2022;2.484.17;2.624;2,560.80
03.07.2022;2.630.59;2.646;2,484.17
03.06.2022;2.655.00;2.674;2,627.79
03.05.2022;2.608.32;2.683;2,655.49
03.04.2022;2.804.66;2.848;2,608.32
03.03.2022;2.976.36;2.982;2,804.50
03.02.2022;2.954.09;3.036;2,963.89
03.01.2022;2.822.90;3.038;2,954.79
02/28/2022;2.600.92;2.836;2,821.51
02/27/2022;2.827.62;2.827;2,606.65
02/26/2022;2.709.11;2.854;2,827.20
02/25/2022;2.635.94;2.744;2,709.14
02/24/2022;2.618.26;2.705;2,633.01
02/23/2022;2.606.86;2.705;2,620.70
02/22/2022;2.571.99;2.661;2,604.01
02/21/2022;2.599.12;2.757;2,583.87
02/20/2022;2.742.00;2.767;2,599.40
02/19/2022;2.780.88;2.767;2,742.00
02/18/2022;2.895.51;2.944;2,783.64
02/17/2022;3.140.82;2.944;2,896.67
02/16/2022;3.098.89;3.195;3,136.48
02/15/2022;2.915.93;3.195;3,099.47
02/14/2022;2.875.44;2.964;2,915.92
02/13/2022;2.878.63;2.952;2,875.03
02.12.2022;2.928.12;2.984;2,880.00
02.11.2022;3.115.80;3.137;2,927.28
02.10.2022;3.238.98;3.281;3,114.29
02.09.2022;3.117.55;3.271;3,240.00
02.08.2022;3.153.50;3.232;3,118.37
02.07.2022;2.996.00;3.188;3,151.38
02.06.2022;3.024.20;3.042;2,996.00
02.05.2022;2.957.11;3.062;3,027.15
02.04.2022;2.658.66;2.977;2,957.62
02.03.2022;2.655.81;2.723;2,657.49
02.02.2022;2.799.30;2.815;2,647.75
02.01.2022;2.680.80;2.815;2,790.00
01/31/2022;2.560.21;2.706;2,680.71
01/30/2022;2.619.44;2.638;2,558.81
01/29/2022;2.535.71;2.637;2,620.00
01/28/2022;2.359.04;2.549;2,537.68
01/27/2022;2.419.35;2.519;2,359.79
01/26/2022;2.413.65;2.724;2,419.99
01/25/2022;2.444.04;2.507;2,414.06
01/24/2022;2.422.90;2.545;2,442.65
01/23/2022;2.446.46;2.548;2,422.90
01/22/2022;2.620.00;2.748;2,448.91
01/21/2022;3.075.71;3.089;2,614.44
01/20/2022;3.114.85;3.272;3,083.99
01/19/2022;3.164.35;3.192;3,114.58
