Unix;Date;Symbol;Open;High;Low;Close;Volume 1INCH;Volume BUSD;tradecount
1,68E+12;03.03.2023;1INCHBUSD;0.565;0.565;0.506;0.528;785437.1;413850.917;3890
1,68E+12;02.03.2023;1INCHBUSD;0.588;0.589;0.552;0.565;587028.7;330598.8818;2693
1,68E+12;01.03.2023;1INCHBUSD;0.571;0.599;0.568;0.588;700176.6;412692.8944;2816
1,68E+12;28.02.2023;1INCHBUSD;0.579;0.587;0.566;0.571;606495.2;348792.244;2661
1,68E+12;27.02.2023;1INCHBUSD;0.583;0.589;0.563;0.579;1195908.4;690114.6821;4182
1,68E+12;26.02.2023;1INCHBUSD;0.58;0.597;0.569;0.583;839692.9;489073.1631;2837
1,68E+12;25.02.2023;1INCHBUSD;0.6;0.602;0.564;0.58;982614.0;576892.2675;3602
1,68E+12;24.02.2023;1INCHBUSD;0.618;0.626;0.584;0.601;1021783.0;618687.1031;3740
1,68E+12;23.02.2023;1INCHBUSD;0.642;0.644;0.608;0.619;1197686.0;753186.7197;4533
1,68E+12;22.02.2023;1INCHBUSD;0.686;0.686;0.628;0.643;2771377.4;1797562.1895;8000
1,68E+12;21.02.2023;1INCHBUSD;0.613;0.7;0.603;0.688;7030062.5;4610902.1812;19626
1,68E+12;20.02.2023;1INCHBUSD;0.575;0.617;0.542;0.613;1910884.0;1144100.1897;6244
1,68E+12;19.02.2023;1INCHBUSD;0.575;0.602;0.566;0.575;2143531.9;1256182.9967;6266
1,68E+12;18.02.2023;1INCHBUSD;0.568;0.582;0.562;0.576;883843.6;508364.4778;4006
1,68E+12;17.02.2023;1INCHBUSD;0.542;0.573;0.538;0.568;1123760.5;628617.8159;4111
1,68E+12;16.02.2023;1INCHBUSD;0.568;0.572;0.541;0.542;1260852.1;706914.3676;4495
1,68E+12;15.02.2023;1INCHBUSD;0.541;0.569;0.533;0.567;1112208.7;609807.0742;3439
1,68E+12;14.02.2023;1INCHBUSD;0.531;0.543;0.525;0.54;874055.8;466848.7151;3308
1,68E+12;13.02.2023;1INCHBUSD;0.532;0.539;0.513;0.531;1358397.7;713827.5865;5020
1,68E+12;12.02.2023;1INCHBUSD;0.54;0.546;0.521;0.533;1038276.2;558065.4746;3044
1,68E+12;11.02.2023;1INCHBUSD;0.533;0.542;0.527;0.541;560666.2;298319.2262;2531
1,68E+12;10.02.2023;1INCHBUSD;0.526;0.541;0.521;0.533;956126.2;508120.1676;3389
1,68E+12;09.02.2023;1INCHBUSD;0.566;0.573;0.511;0.528;3108449.0;1695278.6706;8455
1,68E+12;08.02.2023;1INCHBUSD;0.587;0.597;0.545;0.564;1937951.6;1111447.8688;5130
1,68E+12;07.02.2023;1INCHBUSD;0.553;0.591;0.546;0.586;2336345.5;1328411.9526;6813
1,68E+12;06.02.2023;1INCHBUSD;0.561;0.597;0.551;0.554;1880540.3;1072440.0027;6062
1,68E+12;05.02.2023;1INCHBUSD;0.582;0.622;0.534;0.56;4703310.7;2761711.9009;13517
1,68E+12;04.02.2023;1INCHBUSD;0.566;0.604;0.552;0.581;3392542.3;1978180.5042;9515
1,68E+12;03.02.2023;1INCHBUSD;0.541;0.574;0.536;0.566;2468559.4;1374169.9807;6429
1,68E+12;02.02.2023;1INCHBUSD;0.528;0.575;0.528;0.54;2626724.2;1442976.0972;7978
1,68E+12;01.02.2023;1INCHBUSD;0.515;0.53;0.493;0.529;1628886.0;829249.0098;4208
1,68E+12;31.01.2023;1INCHBUSD;0.51;0.517;0.502;0.514;900478.2;460097.1307;2907
1,68E+12;30.01.2023;1INCHBUSD;0.541;0.544;0.489;0.51;2100408.1;1078372.3003;6297
1,67E+12;29.01.2023;1INCHBUSD;0.529;0.543;0.52;0.541;1119363.3;598493.4879;4300
1,67E+12;28.01.2023;1INCHBUSD;0.537;0.55;0.517;0.529;984117.6;525452.4189;4935
1,67E+12;27.01.2023;1INCHBUSD;0.528;0.54;0.506;0.538;1597278.6;832450.2911;6612
1,67E+12;26.01.2023;1INCHBUSD;0.536;0.549;0.514;0.528;1210864.9;641042.1525;6111
1,67E+12;25.01.2023;1INCHBUSD;0.514;0.582;0.497;0.534;3402362.4;1801459.6349;13047
1,67E+12;24.01.2023;1INCHBUSD;0.535;0.547;0.502;0.513;1989732.7;1060929.389;6613
1,67E+12;23.01.2023;1INCHBUSD;0.515;0.552;0.514;0.535;3436670.8;1839018.0889;11101
1,67E+12;22.01.2023;1INCHBUSD;0.501;0.542;0.495;0.513;3621205.6;1884475.7644;9480
1,67E+12;21.01.2023;1INCHBUSD;0.494;0.524;0.482;0.501;2549942.9;1288657.1978;7808
1,67E+12;20.01.2023;1INCHBUSD;0.463;0.495;0.453;0.494;1259756.9;592623.3589;3881
1,67E+12;19.01.2023;1INCHBUSD;0.446;0.475;0.446;0.463;2312327.0;1062052.7934;7272
1,67E+12;18.01.2023;1INCHBUSD;0.48;0.487;0.44;0.447;1606935.3;740135.3725;5526
1,67E+12;17.01.2023;1INCHBUSD;0.488;0.497;0.476;0.48;1220399.8;591406.0409;3616
1,67E+12;16.01.2023;1INCHBUSD;0.499;0.512;0.471;0.488;1777581.8;874218.9723;5080
1,67E+12;15.01.2023;1INCHBUSD;0.482;0.504;0.471;0.497;1763006.4;865422.7469;5202
1,67E+12;14.01.2023;1INCHBUSD;0.466;0.502;0.448;0.481;3613994.2;1744615.8898;9088
1,67E+12;13.01.2023;1INCHBUSD;0.451;0.468;0.443;0.464;495683.3;224874.944;2351
1,67E+12;12.01.2023;1INCHBUSD;0.435;0.455;0.428;0.451;1206601.1;532303.3671;4122
1,67E+12;11.01.2023;1INCHBUSD;0.432;0.437;0.413;0.435;346312.4;146684.873;1686
1,67E+12;10.01.2023;1INCHBUSD;0.422;0.438;0.415;0.432;717087.1;308328.8462;2148
1,67E+12;09.01.2023;1INCHBUSD;0.409;0.434;0.407;0.421;809712.2;341462.4535;3743
1,67E+12;08.01.2023;1INCHBUSD;0.398;0.412;0.393;0.409;482634.8;194847.3675;1533
1,67E+12;07.01.2023;1INCHBUSD;0.396;0.401;0.394;0.398;423649.5;168260.8246;1248
1,67E+12;06.01.2023;1INCHBUSD;0.388;0.398;0.381;0.396;482751.4;186937.7534;1364
1,67E+12;05.01.2023;1INCHBUSD;0.396;0.403;0.386;0.388;716803.6;282149.5615;1901
1,67E+12;04.01.2023;1INCHBUSD;0.386;0.403;0.383;0.395;885267.3;349642.1903;2230
1,67E+12;03.01.2023;1INCHBUSD;0.396;0.4;0.382;0.386;545155.9;213080.9174;1606
1,67E+12;02.01.2023;1INCHBUSD;0.386;0.399;0.379;0.395;435028.3;169174.7135;1332
1,67E+12;01.01.2023;1INCHBUSD;0.384;0.387;0.38;0.386;180511.0;69178.7675;559
1,67E+12;31.12.2022;1INCHBUSD;0.377;0.391;0.374;0.383;442941.8;170450.0915;1094
1,67E+12;30.12.2022;1INCHBUSD;0.381;0.386;0.372;0.375;462692.4;174901.903;1028
1,67E+12;29.12.2022;1INCHBUSD;0.384;0.387;0.374;0.382;590503.2;224890.5415;1254
1,67E+12;28.12.2022;1INCHBUSD;0.4;0.401;0.381;0.384;714075.6;278016.7769;1853
1,67E+12;27.12.2022;1INCHBUSD;0.407;0.414;0.396;0.4;549425.0;221165.7157;1643
1,67E+12;26.12.2022;1INCHBUSD;0.399;0.407;0.396;0.406;362845.1;146283.7138;1141
1,67E+12;25.12.2022;1INCHBUSD;0.4;0.402;0.389;0.398;336397.8;132873.5944;1132
1,67E+12;24.12.2022;1INCHBUSD;0.398;0.403;0.398;0.4;232697.2;93133.2709;601
